f_bus,t_bus,r,x,b,rateA,rateB,rateC,ratio,angle,status,angmin
72,52,0,0,0,1000,1,1,0,0,1.1,0.9
72,52,0,0,0,1000,1,1,0,0,1.1,0.9
72,72,0,0,0,1000,1,1,0,0,1.1,0.9
73,72,0,0,0,1000,1,1,0,0,1.1,0.9
6,63,0,0,0,1000,1,1,0,0,1.1,0.9
61,71,0,0,0,1000,1,1,0,0,1.1,0.9
71,61,0,0,0,1000,1,1,0,0,1.1,0.9
71,71,0,0,0,1000,1,1,0,0,1.1,0.9
71,71,0,0,0,1000,1,1,0,0,1.1,0.9
61,71,0,0,0,1000,1,1,0,0,1.1,0.9
61,61,0,0,0,1000,1,1,0,0,1.1,0.9
61,61,0,0,0,1000,1,1,0,0,1.1,0.9
61,61,0,0,0,1000,1,1,0,0,1.1,0.9
61,61,0,0,0,1000,1,1,0,0,1.1,0.9
61,61,0,0,0,1000,1,1,0,0,1.1,0.9
61,61,0,0,0,1000,1,1,0,0,1.1,0.9
61,61,0,0,0,1000,1,1,0,0,1.1,0.9
61,61,0,0,0,1000,1,1,0,0,1.1,0.9
71,71,0,0,0,1000,1,1,0,0,1.1,0.9
71,71,0,0,0,1000,1,1,0,0,1.1,0.9
71,71,0,0,0,1000,1,1,0,0,1.1,0.9
71,71,0,0,0,1000,1,1,0,0,1.1,0.9
71,71,0,0,0,1000,1,1,0,0,1.1,0.9
63,73,0,0,0,1000,1,1,0,0,1.1,0.9
6,6,0,0,0,1000,1,1,0,0,1.1,0.9
6,6,0,0,0,1000,1,1,0,0,1.1,0.9
6,6,0,0,0,1000,1,1,0,0,1.1,0.9
6,6,0,0,0,1000,1,1,0,0,1.1,0.9
6,6,0,0,0,1000,1,1,0,0,1.1,0.9
6,6,0,0,0,1000,1,1,0,0,1.1,0.9
6,6,0,0,0,1000,1,1,0,0,1.1,0.9
6,6,0,0,0,1000,1,1,0,0,1.1,0.9
65,6,0,0,0,1000,1,1,0,0,1.1,0.9
65,65,0,0,0,1000,1,1,0,0,1.1,0.9
65,65,0,0,0,1000,1,1,0,0,1.1,0.9
65,65,0,0,0,1000,1,1,0,0,1.1,0.9
65,65,0,0,0,1000,1,1,0,0,1.1,0.9
65,65,0,0,0,1000,1,1,0,0,1.1,0.9
52,52,0,0,0,1000,1,1,0,0,1.1,0.9
52,65,0,0,0,1000,1,1,0,0,1.1,0.9
9,9,0,0,0,1000,1,1,0,0,1.1,0.9
9,9,0,0,0,1000,1,1,0,0,1.1,0.9
9,9,0,0,0,1000,1,1,0,0,1.1,0.9
9,9,0,0,0,1000,1,1,0,0,1.1,0.9
9,9,0,0,0,1000,1,1,0,0,1.1,0.9
9,9,0,0,0,1000,1,1,0,0,1.1,0.9
9,9,0,0,0,1000,1,1,0,0,1.1,0.9
9,9,0,0,0,1000,1,1,0,0,1.1,0.9
9,9,0,0,0,1000,1,1,0,0,1.1,0.9
9,9,0,0,0,1000,1,1,0,0,1.1,0.9
9,9,0,0,0,1000,1,1,0,0,1.1,0.9
9,9,0,0,0,1000,1,1,0,0,1.1,0.9
8,8,0,0,0,1000,1,1,0,0,1.1,0.9
8,8,0,0,0,1000,1,1,0,0,1.1,0.9
8,8,0,0,0,1000,1,1,0,0,1.1,0.9
8,8,0,0,0,1000,1,1,0,0,1.1,0.9
8,8,0,0,0,1000,1,1,0,0,1.1,0.9
9,9,0,0,0,1000,1,1,0,0,1.1,0.9
9,9,0,0,0,1000,1,1,0,0,1.1,0.9
9,9,0,0,0,1000,1,1,0,0,1.1,0.9
21,21,0,0,0,1000,1,1,0,0,1.1,0.9
44,44,0,0,0,1000,1,1,0,0,1.1,0.9
44,76,0,0,0,1000,1,1,0,0,1.1,0.9
